Total Transactions,Transaction Index,Unix Timestamp,Readable Timestamp,Open,Close,High,Low,tVol,UTC Date,Daily Total Volume,Cumulative Daily Volume,Cumulative Total Volume (Till Date)
531,1,1677704373,"Wed, 01 Mar 2023 20:59:33 GMT",1800157159130559553281376419187686598511496,2028269608303156271202164025770022951261000,2028269608303156271202164025770022951261000,1800157159130559553281376419187686598511496,136043554953987493082220258000000000000,2023-03-01,5751863052052038838701889712207113081688,136043554953987493082220258000000000000,136043554953987493082220258000000000000
531,2,1677704373,"Wed, 01 Mar 2023 20:59:33 GMT",1800157159130559553281376419187686598511496,2028269608303156271202164025770022951261000,2028269608303156271202164025770022951261000,1800157159130559553281376419187686598511496,136043554953987493082220258000000000000,2023-03-01,5751863052052038838701889712207113081688,272087109907974986164440516000000000000,272087109907974986164440516000000000000
531,3,1677704373,"Wed, 01 Mar 2023 20:59:33 GMT",1800157159130559553281376419187686598511496,2028269608303156271202164025770022951261000,2028269608303156271202164025770022951261000,1800157159130559553281376419187686598511496,136043554953987493082220258000000000000,2023-03-01,5751863052052038838701889712207113081688,408130664861962479246660774000000000000,408130664861962479246660774000000000000
531,4,1677704373,"Wed, 01 Mar 2023 20:59:33 GMT",1800157159130559553281376419187686598511496,2028269608303156271202164025770022951261000,2028269608303156271202164025770022951261000,1800157159130559553281376419187686598511496,136043554953987493082220258000000000000,2023-03-01,5751863052052038838701889712207113081688,544174219815949972328881032000000000000,544174219815949972328881032000000000000
531,5,1677704373,"Wed, 01 Mar 2023 20:59:33 GMT",1800157159130559553281376419187686598511496,2028269608303156271202164025770022951261000,2028269608303156271202164025770022951261000,1800157159130559553281376419187686598511496,136043554953987493082220258000000000000,2023-03-01,5751863052052038838701889712207113081688,680217774769937465411101290000000000000,680217774769937465411101290000000000000
531,6,1677704373,"Wed, 01 Mar 2023 20:59:33 GMT",1800157159130559553281376419187686598511496,2028269608303156271202164025770022951261000,2028269608303156271202164025770022951261000,1800157159130559553281376419187686598511496,136043554953987493082220258000000000000,2023-03-01,5751863052052038838701889712207113081688,816261329723924958493321548000000000000,816261329723924958493321548000000000000
531,7,1677704373,"Wed, 01 Mar 2023 20:59:33 GMT",1800157159130559553281376419187686598511496,2028269608303156271202164025770022951261000,2028269608303156271202164025770022951261000,1800157159130559553281376419187686598511496,136043554953987493082220258000000000000,2023-03-01,5751863052052038838701889712207113081688,952304884677912451575541806000000000000,952304884677912451575541806000000000000
531,8,1677704373,"Wed, 01 Mar 2023 20:59:33 GMT",1800157159130559553281376419187686598511496,2028269608303156271202164025770022951261000,2028269608303156271202164025770022951261000,1800157159130559553281376419187686598511496,136043554953987493082220258000000000000,2023-03-01,5751863052052038838701889712207113081688,1088348439631899944657762064000000000000,1088348439631899944657762064000000000000
531,9,1677704376,"Wed, 01 Mar 2023 20:59:36 GMT",2028269608303156271202164025770022951261000,2130331031599600789685366168958905119115262,2130331031599600789685366168958905119115262,2063001492784523132372874219225942680369520,51130476417391197436332943684346309748,2023-03-01,5751863052052038838701889712207113081688,1139478916049291142094095007684346309748,1139478916049291142094095007684346309748
531,10,1677704376,"Wed, 01 Mar 2023 20:59:36 GMT",2028269608303156271202164025770022951261000,2130331031599600789685366168958905119115262,2130331031599600789685366168958905119115262,2063001492784523132372874219225942680369520,51130476417391197436332943684346309748,2023-03-01,5751863052052038838701889712207113081688,1190609392466682339530427951368692619496,1190609392466682339530427951368692619496
